dismissal_dataset_id,coname,gvkey,fyear,co_per_rol,exec_fullname,departure_code,CEO_left_due_to
131,PRIMERICA INC,1414,2015,46623,Donald Richard Williams,5,Retired
135,US ECOLOGY INC,1439,2009,49519,Stephen A. Romano,5,Retired
140,AMERICAN ELECTRIC POWER CO,1440,2003,100,E. Linn Draper Jr.,5,Retired
141,AMERICAN ELECTRIC POWER CO,1440,2011,28596,Michael G. Morris,5,Retired
144,AMERICAN EXPRESS CO,1447,2000,108,Harvey Golub,5,Retired
145,AMERICAN EXPRESS CO,1447,2017,111,Kenneth I. Chenault,5,Retired
152,AMERICAN GENERAL CORP,1465,2000,116,Robert M. Devlin,7,Other
153,AMERICAN GREETINGS -CL A,1468,2002,119,Morry J. Weiss,5,Retired
154,AMERICAN GREETINGS -CL A,1468,2013,27867,Zev Weiss,7,Other
155,AMERICAN GREETINGS  -CL A,1468,2015,23915,Jeffrey M. Weiss,7,Other
156,AMERICAN GREETINGS -CL A,1468,2019,42479,John W. Beeder,7,Other
157,WYETH,1478,2000,124,John R. Stafford,5,Retired
158,WYETH,1478,2007,14166,Robert Alan Essner,5,Retired
159,WYETH,1478,2008,23578,Bernard J. Poussot,7,Other
164,AMERICAN INTERNATIONAL GROUP,1487,2009,37623,Edward M. Liddy M.B.A.,7,Other
165,AMERICAN INTERNATIONAL GROUP,1487,2014,42214,Robert Herman Benmosche,5,Retired
169,AMERICAN MANAGEMENT SYSTEMS,1500,2000,5658,Paul A. Brands,5,Retired
171,AMERICAN MANAGEMENT SYSTEMS,1500,2003,24331,Alfred T. Mockett,7,Other
175,AMERICAN PACIFIC CORP,1533,2009,13804,John R. Gibson,5,Retired
176,AMERICAN PACIFIC CORP,1533,2013,33915,Joseph Carleone,7,Other
179,AMERICAN SCIENCE ENGINEERING,1554,2012,38789,Anthony R. Fabiano,5,Retired
180,AMERICAN SCIENCE ENGINEERING,1554,2015,49526,Charles P. Dougherty,7,Other
182,TRANE INC,1567,2007,21855,Frederic M. Poses,7,Other
185,AT&T CORP,1581,2002,14200,C. Michael Armstrong,7,Other
186,AT&T CORP,1581,2004,23759,David W. Dorman,7,Other
189,AMERICAN WATER WORKS INC,1587,2001,8774,J. James Barr,7,Other
190,AMES DEPT STORES INC,1594,2000,17680,Joseph R. Ettore,7,Other
192,AMETEK INC,1598,2015,2666,Frank S. Hermance,5,Retired
195,AMGEN INC,1602,2011,151,Kevin W. Sharer,5,Retired
201,AMSOUTH BANCORPORATION,1619,2005,11394,C. Dowd Ritter,7,Other
205,ANALOGIC CORP,1633,2001,15471,Bernard M. Gordon MS,5,Retired
206,ANALOGIC CORP,1633,2002,20832,Thomas J. Miller Jr.,5,Retired
207,ANALOGIC CORP,1633,2003,15471,Bernard M. Gordon MS,5,Retired
208,ANALOGIC CORP,1633,2006,26541,John W. Wood Jr.,5,Retired
210,ANALOGIC CORP,1633,2016,33829,James W. Green,5,Retired
211,ANALOGIC CORP,1633,2017,55835,Fred B. Parks Ph.D.,7,Other
212,ANALYSTS INTERNATIONAL CORP,1634,2001,13468,Frederick W. Lang,5,Retired
213,ANALYSTS INTERNATIONAL CORP,1634,2005,20390,Michael J. LaVelle,5,Retired
214,ANALYSTS INTERNATIONAL CORP,1634,2006,29372,Jeffrey P. Baker,5,Retired
217,ANALYSTS INTERNATIONAL CORP,1634,2010,42215,Andrew K. Borgstrom,6,New Opportunity
218,ANALYSTS INTERNATIONAL CORP,1634,2012,43638,Brittany B. McKinney,7,Other
219,ANDREW CORP,1651,2000,166,Floyd L. English,5,Retired
221,ANDREW CORP,1651,2002,166,Floyd L. English,5,Retired
222,ANDREW CORP,1651,2007,26569,Ralph E. Faison,7,Other
224,ANGELICA CORP,1655,2003,14714,Don W. Hubble,5,Retired
226,ANDERSONS INC,1659,2015,34328,Michael J. Anderson,5,Retired
228,NABORS INDUSTRIES LTD,1661,2011,2679,Eugene M. Isenberg,5,Retired
230,ANHEUSER-BUSCH COS INC,1663,2001,171,August A. Busch III,5,Retired
231,ANHEUSER-BUSCH COS INC,1663,2006,173,Patrick T. Stokes,5,Retired
232,ANHEUSER-BUSCH COS INC,1663,2007,23467,August A. Busch IV,7,Other
236,K2 INC,1677,2006,25826,Richard J. Heckmann,7,Other
237,APACHE CORP,1678,2001,2689,Raymond B. Plank,5,Retired
241,APOGEE ENTERPRISES INC,1686,2010,15126,Russell Huffer,5,Retired
249,APPLIED MATERIALS INC,1704,2002,2695,James C. Morgan,5,Retired
252,APPLIED POWER INC,1706,2000,13344,Richard G. Sim,7,Other
253,ACTUANT CORP -CL A,1706,2013,13346,Robert C. Arzbaecher,5,Retired
257,ARCHER-DANIELS-MIDLAND CO,1722,2006,13527,G. Allen Andreas,5,Retired
258,ARCHER-DANIELS-MIDLAND CO,1722,2014,31699,Patricia A. Woertz,5,Retired
260,ARCBEST CORP,1743,2005,5667,Robert A. Young III,5,Retired
261,ARCBEST CORP,1743,2009,26795,Robert A. Davidson,5,Retired
268,ARMSTRONG HOLDINGS INC,1762,2000,201,George A. Lorch,5,Retired
269,ARMSTRONG HOLDINGS INC,1762,2006,22875,Michael D. Lockhart,7,Other
270,ARNOLD INDUSTRIES INC,1766,2000,2700,Edward H. Arnold,7,Other
272,ARROW ELECTRONICS INC,1773,2002,16697,Francis M. Scricco,5,Retired
273,ARROW ELECTRONICS INC,1773,2008,27556,William E. Mitchell,5,Retired
281,ASHLAND GLOBAL HOLDINGS INC,1794,2014,20548,James J. OBrien,7,Other
285,SOUTHERN CO GAS,1837,2000,15695,Walter M. Higgins III,7,Other
286,SOUTHERN CO GAS,1837,2003,17904,Paula G. Rosput,6,New Opportunity
287,SOUTHERN CO GAS,1837,2005,28829,Paula G. Rosput Reynolds,6,New Opportunity
288,SOUTHERN CO GAS,1837,2015,32750,John William Somerhalder II,5,Retired
294,ATWOOD OCEANICS,1860,2009,18128,John R. Irwin,5,Retired
295,ATWOOD OCEANICS,1860,2016,43048,Robert J. Saltiel,7,Other
296,REX AMERICAN RESOURCES CORP,1864,2014,51306,Stuart A. Rose,5,Retired
301,AUTODESK INC,1878,2005,221,Carol A. Bartz,5,Retired
303,AUTODESK INC,1878,2017,47499,Amar Hanspal,7,Other
305,AUTOMATIC DATA PROCESSING,1891,2006,229,Arthur Frederic Weinbach,5,Retired
309,AVERY DENNISON CORP,1913,2004,233,Philip M. Neal,5,Retired
310,AVERY DENNISON CORP,1913,2015,18475,Dean A. Scarborough,7,Other
313,AVNET INC,1919,2011,2729,Roy A. Vallee,5,Retired
320,AVON PRODUCTS,1920,2018,61556,Jan Zijderveld,7,Other
324,BMC INDUSTRIES INC,1943,2002,26182,Douglas C. Hepper,7,Other
325,BADGER METER INC,1968,2018,38480,Richard A. Meeusen,5,Retired
328,BAKER HUGHES INC,1976,2000,21202,Joe B. Foster,7,Other
329,BAKER HUGHES INC,1976,2004,21203,Michael E. Wiley,5,Retired
330,BAKER HUGHES INC,1976,2011,28412,Chadwick C. Deaton,5,Retired
331,BAKER HUGHES INC,1976,2017,36916,Martin S. Craighead,7,Other
333,BALCHEM CORP -CL B,1979,2014,35785,Dino A. Rossi,5,Retired
338,BALDOR ELECTRIC CO,1981,2009,5690,John A. McFarland,5,Retired
340,BALL CORP,1988,2000,5236,George A. Sissel,5,Retired
341,BALL CORP,1988,2010,9437,Roy David Hoover,5,Retired
347,CONSTELLATION ENERGY GRP INC,1995,2011,23870,Mayo A. Shattuck III,7,Other
349,BANK ONE CORP,1998,2003,21152,James Dimon,7,Other
350,POPULAR INC,2002,2016,10822,Richard L. Carrin,5,Retired
353,BANK OF HAWAII CORP,2005,2000,2734,Lawrence M. Johnson,5,Retired
354,BANK OF HAWAII CORP,2005,2004,21484,Michael E. O'Neill,7,Other
355,BANK OF HAWAII CORP,2005,2010,24113,Allan Ray Landon,5,Retired
357,BANCTEC INC-REDH,2006,2010,38813,J. Coley Clark,5,Retired
358,BANDAG INC,2008,2006,10819,Martin G. Carver,7,Other
359,BANGOR HYDRO-ELECTRIC CO,2011,2001,5699,Robert S. Briggs,7,Other
363,BANK OF NEW YORK MELLON CORP,2019,2006,276,Thomas A. Renyi B.A. M.B.A.,7,Other
366,BANK OF NEW YORK MELLON CORP,2019,2018,59852,Charles W. Scharf,6,New Opportunity
369,BRE PROPERTIES INC,2025,2012,35304,Constance B. Moore,7,Other
374,BANTA CORP,2034,2002,9439,Donald D. Belcher,5,Retired
375,BANTA CORP,2034,2005,24632,Stephanie A. Streeter,7,Other
377,BARD (C.R.) INC,2044,2003,289,William H. Longfield,5,Retired
380,BARNES GROUP INC,2049,2006,16384,Edmund M. Carpenter,5,Retired
381,BARNES GROUP INC,2049,2012,23847,Gregory F. Milzcik,5,Retired
387,BARRETT RESOURCES CORP,2054,2000,14698,Peter A. Dea,7,Other
392,BARRICK GOLD CORP,2055,2008,299,Peter Munk C.C.,7,Other
395,BARRICK GOLD CORP,2055,2017,38820,Kelvin P. M. Dushnisky B.Sc. (Hon.) J.D. M.Sc.,6,New Opportunity
402,BAUSCH & LOMB HLDGS -REDH,2085,2006,310,Ronald L. Zarrella,7,Other
405,BAXTER INTERNATIONAL INC,2086,2015,28583,Robert L. Parkinson Jr.,5,Retired
406,APPLIED INDUSTRIAL TECH INC,2101,2000,13835,John C. Dannemiller,5,Retired
407,APPLIED INDUSTRIAL TECH INC,2101,2011,17791,David L. Pugh,5,Retired
411,BECTON DICKINSON & CO,2111,2011,8804,Edward J. Ludwig,5,Retired
412,BECTON DICKINSON & CO,2111,2018,20679,Vincent A. Forlenza,5,Retired
413,BEL FUSE INC,2124,2000,20621,Elliot Bernstein,5,Retired
417,VERIZON COMMUNICATIONS INC,2136,2001,21139,Charles R. Lee,7,Other
418,VERIZON COMMUNICATIONS INC,2136,2011,13973,Ivan G. Seidenberg,5,Retired
419,VERIZON COMMUNICATIONS INC,2136,2018,34098,Lowell C. McAdam,5,Retired
423,BELL INDUSTRIES INC,2138,2005,19697,Russell A. Doll,7,Other
424,BELL INDUSTRIES INC,2138,2007,31247,John A. Fellows,6,New Opportunity
425,BELL INDUSTRIES INC,2138,2009,35252,Clinton Coleman,7,Other
427,BELLSOUTH CORP,2146,2005,331,F. Duane Ackerman,7,Other
428,BELO CORP -SER A COM,2150,2007,2743,Robert W. Decherd,5,Retired
429,BELO CORP -SER A COM,2150,2012,24066,Dunia A. Shive,7,Other
431,BEMIS CO INC,2154,2007,337,Jeffrey H. Curler,5,Retired
432,BEMIS CO INC,2154,2014,25153,Henry J. Theisen,5,Retired
433,BEMIS CO INC,2154,2017,28660,William F. Austen,7,Other
437,BERGEN BRUNSWIG CORP  -CL A,2169,2000,2748,Robert E. Martini,7,Other
439,BEST BUY CO INC,2184,2001,5245,Richard M. Schulze,5,Retired
440,BEST BUY CO INC,2184,2008,5246,Bradbury H. Anderson,5,Retired
442,BEST BUY CO INC,2184,2017,47502,Hubert Joly,5,Retired
444,BETHLEHEM STEEL CORP,2189,2000,16101,Duane R. Dunham,5,Retired
447,BEVERLY ENTERPRISES INC,2193,2000,350,David R. Banks,5,Retired
448,BEVERLY ENTERPRISES INC,2193,2004,22295,William R. Floyd,7,Other
451,BIO-RAD LABORATORIES INC,2220,2002,17339,David Schwartz,5,Retired
453,SAVIENT PHARMACEUTICALS INC,2222,2004,13013,Sim Fass,5,Retired
454,SAVIENT PHARMACEUTICALS INC,2222,2008,26060,Christopher G. Clement,5,Retired
456,SAVIENT PHARMACEUTICALS INC,2222,2011,45063,John H. Johnson,6,New Opportunity
457,SAVIENT PHARMACEUTICALS INC,2222,2012,47506,Louis Ferrari,7,Other
462,BIOMET INC,2230,2005,355,Dane A. Miller,5,Retired
463,BIOMET INC,2230,2006,359,Daniel P. Hann,7,Other
464,BIOMET INC,2230,2011,33590,Jeffrey R. Binder,7,Other
465,BLACK & DECKER CORP,2255,2008,361,Nolan D. Archibald,7,Other
466,BLACK HILLS CORP,2259,2003,2763,Daniel P. Landguth,5,Retired
467,BLACK HILLS CORP,2259,2018,24173,David R. Emery,5,Retired
470,BLOCK H & R INC,2269,2000,13217,Frank L. Salizzoni,5,Retired
472,BLOCK H & R INC,2269,2009,38186,Russell P. Smyth,5,Retired
474,BLOCK H & R INC,2269,2017,46150,William C. Cobb,6,New Opportunity
476,ENSCO PLC,2270,2006,8810,Carl F. Thorne,5,Retired
477,ENSCO PLC,2270,2013,32448,Daniel W. Rabun,5,Retired
478,ENSCO PLC,2270,2017,50460,Carl G. Trowell,7,Other
481,BLOUNT INTL INC,2271,2009,13414,James S. Osterman,5,Retired
486,BOB EVANS FARMS,2282,2005,2767,Larry C. Corbin,5,Retired
488,BOB EVANS FARMS,2282,2015,36720,J. Michael Townsley,7,Other
494,BOEING CO,2285,2014,30224,W. James McNerney Jr.,5,Retired
497,OFFICEMAX INC,2290,2004,384,George J. Harad,5,Retired
498,OFFICEMAX INC,2290,2010,30240,Sammy K. Duncan,5,Retired
499,OFFICEMAX INC,2290,2012,43279,Ravichandra K. Saligram,6,New Opportunity
503,ROBERT HALF INTL INC,2312,2017,11782,Harold Max Messmer Jr.,5,Retired
505,HEXION INC,2316,2017,38838,Craig O. Morrison,5,Retired
506,NSTAR,2328,2011,19129,Thomas J. May,5,Retired
508,RESOLUTE FOREST PRODUCTS INC,2337,2005,5257,Arnold M. Nemirow,5,Retired
510,RESOLUTE FOREST PRODUCTS INC,2337,2017,45070,Richard C. Garneau,5,Retired
512,BOWNE & CO INC,2346,2004,11780,Robert M. Johnson,5,Retired
513,BOWNE & CO INC,2346,2006,21929,Philip E. Kucera,5,Retired
514,BOWNE & CO INC,2346,2009,25901,David J. Shea,7,Other
515,BRADY CORP,2352,2000,13475,Katherine M. Hudson,5,Retired
517,BRADY CORP,2352,2014,35881,Thomas J. Felmer,7,Other
520,BRIGGS & STRATTON,2393,2001,395,Frederick P. Stratton Jr.,5,Retired
521,BRIGGS & STRATTON,2393,2010,398,John S. Shiely,5,Retired
522,BRIGGS & STRATTON,2393,2018,29880,Todd J. Teske,7,Other
525,BRISTOL-MYERS SQUIBB CO,2403,2000,402,Charles A. Heimbold Jr.,5,Retired
527,BRISTOL-MYERS SQUIBB CO,2403,2009,32298,James Milton Cornelius,5,Retired
528,BRISTOL-MYERS SQUIBB CO,2403,2015,32299,Lamberto Andreotti,5,Retired
532,KEYSPAN ENERGY CORP,2424,2002,2777,Robert B. Catell,5,Retired
534,BROWN FORMAN CORP,2435,2004,407,Owsley Brown III,5,Retired
535,BROWN FORMAN CORP,2435,2017,28013,Paul C. Varga,5,Retired
537,CALERES INC,2436,2010,5258,Ronald A. Fromm,5,Retired
539,BROWN (TOM) INC,2437,2000,20514,Donald L. Evans,5,Retired
540,BROWN (TOM) INC,2437,2003,20515,James D. Lightner,7,Other
548,BRUNSWICK CORP,2444,2005,16243,George W. Buckley,5,Retired
549,BRUNSWICK CORP,2444,2015,21121,Dustan E. McCoy,5,Retired
550,BRUNSWICK CORP,2444,2018,38844,Mark D. Schwabero,5,Retired
551,MATERION CORP,2448,2005,2782,Gordon D. Harnett,5,Retired
552,MATERION CORP,2448,2016,28619,Richard J. Hipple,5,Retired
554,BURLINGTON COAT FACTORY INVS,2484,2004,20209,Monroe G. Milstein,7,Other
556,BURLINGTON INDUSTRIES INC,2489,2000,5739,George W. Henderson III,7,Other
558,BURLINGTON NORTHERN SANTA FE,2490,2000,8824,Robert D. Krebs,5,Retired
559,BURLINGTON NORTHERN SANTA FE,2490,2008,16048,Matthew K. Rose,5,Retired
561,MASTEC INC,2497,2001,20497,Joel-Tomas Citron,5,Retired
562,MASTEC INC,2497,2006,22747,Austin J. Shanfelter,5,Retired
566,UNISYS CORP,2504,2004,13962,Lawrence A. Weinbach,5,Retired
571,BUTLER MFG CO,2518,2002,10284,John J. Holland,7,Other
574,LIVERAMP HOLDINGS INC,2536,2006,5742,Charles Donald Morgan,5,Retired
579,C-COR INC,2537,2007,17949,David A. Woodle,7,Other
581,CDI CORP,2538,2000,14771,Mitch Wienick,5,Retired
583,CDI CORP,2538,2010,24355,Roger H. Ballou,5,Retired
585,CDI CORP,2538,2014,45077,Robert M. Larney,5,Retired
588,CIGNA CORP,2547,2009,8836,H. Edward Hanway,5,Retired
592,CPI CORP,2555,2000,2796,Alyn V. Essman,5,Retired
594,CPI CORP,2555,2005,29476,David M. Meyer,7,Other
599,CNA FINANCIAL CORP,2558,2002,4711,Laurence Alan Tisch,5,Retired
600,CNA FINANCIAL CORP,2558,2008,25293,Stephen Wright Lilienthal,5,Retired
601,CNA FINANCIAL CORP,2558,2016,40211,Thomas Firouz Motamed,5,Retired
605,CSX CORP,2574,2002,456,John W. Snow,5,Retired
609,CTS CORP,2577,2001,15165,Joseph P. Walker,5,Retired
610,CTS CORP,2577,2007,24284,Donald K. Schwanz,5,Retired
611,CTS CORP,2577,2012,25734,Vinod M. Khilnani C.M.A. CPA,5,Retired
613,CABOT CORP,2593,2001,2801,Samuel W. Bodman,5,Retired
614,CABOT CORP,2593,2007,2803,Kennett F. Burnes,5,Retired
617,CACI INTL INC -CL A,2596,2007,20303,J. Phillip London,5,Retired
618,CACI INTL INC -CL A,2596,2012,35294,Paul M. Cofoni,5,Retired
621,CACI INTL INC -CL A,2596,2018,47785,Kenneth Asbury,5,Retired
625,CALAMP CORP,2615,2010,47788,Richard B. Gold Ph.D.,5,Retired
627,MUFG AMERICAS HOLDINGS CORP,2620,2000,21374,Takahiro Moriguchi,6,New Opportunity
628,MUFG AMERICAS HOLDINGS CORP,2620,2004,23669,Norimichi Kanari,6,New Opportunity
629,MUFG AMERICAS HOLDINGS CORP,2620,2006,28661,Takashi Morimura,6,New Opportunity
630,MUFG AMERICAS HOLDINGS CORP,2620,2007,35165,Masaaki Tanaka,5,Retired
633,CALIFORNIA WATER SERVICE GP,2628,2013,51975,Peter C. Nelson,5,Retired
642,CONSTELLATION BRANDS -CL A,2710,2018,13122,Robert S. Sands II,5,Retired
645,CARDINAL HEALTH INC,2751,2006,2816,Robert D. Walter,5,Retired
646,CARDINAL HEALTH INC,2751,2009,31706,Ronal Kerry Clark,7,Other
648,CARLISLE COS INC,2771,2000,2821,Stephen P. Munn,5,Retired
649,CARLISLE COS INC,2771,2006,18517,Richmond D. McKinnish,7,Other
650,CARLISLE COS INC,2771,2015,33974,David A. Roberts,5,Retired
653,PROGRESS ENERGY INC,2783,2003,478,William Cavanaugh III,5,Retired
656,CARPENTER TECHNOLOGY CORP,2787,2001,2830,Robert W. Cardy,5,Retired
657,CARPENTER TECHNOLOGY CORP,2787,2003,13556,Dennis M. Draeger,5,Retired
658,CARPENTER TECHNOLOGY CORP,2787,2006,11519,Robert J. Torcolini,5,Retired
660,CARPENTER TECHNOLOGY CORP,2787,2010,42908,Gregory A. Pratt,5,Retired
661,CARPENTER TECHNOLOGY CORP,2787,2014,44372,William A. Wulfsohn,6,New Opportunity
662,CARPENTER TECHNOLOGY CORP,2787,2015,42908,Gregory A. Pratt,5,Retired
664,CARTER-WALLACE INC,2797,2000,2831,Henry H. Hoyt Jr.,5,Retired
665,CASCADE CORP,2802,2011,33198,Robert C. Warren Jr.,5,Retired
667,CASCADE NATURAL GAS CORP,2803,2005,5763,W. Brian Matsuyama,5,Retired
668,CASCADE NATURAL GAS CORP,2803,2006,30108,David Wayne Stevens,7,Other
670,CASEYS GENERAL STORES INC,2807,2005,5768,Ronald M. Lamb,5,Retired
671,CASEYS GENERAL STORES INC,2807,2015,17275,Robert J. Myers,5,Retired
672,CASEYS GENERAL STORES INC,2807,2017,28050,Terry W. Handley,5,Retired
674,CASTLE (A M) & CO,2811,2005,21957,G. Thomas McKane,5,Retired
677,CASTLE (A M) & CO,2811,2018,51979,Steven W. Scheinkman,5,Retired
678,DOLE FOOD CO INC,2812,2006,2836,David H. Murdock,5,Retired
679,DOLE FOOD CO INC,2812,2012,2837,David A. DeLorenzo,6,New Opportunity
681,DOLE FOOD CO INC,2812,2016,2836,David H. Murdock,7,Other
683,CATERPILLAR INC,2817,2003,483,Glen A. Barton,5,Retired
684,CATERPILLAR INC,2817,2009,8844,James W. Owens,5,Retired
685,CATERPILLAR INC,2817,2016,23405,Douglas R. Oberhelman,5,Retired
690,CENTEX CORP,2845,2003,486,Laurence E. Hirsch,7,Other
691,CENTEX CORP,2845,2008,488,Timothy R. Eller,7,Other
695,BBVA COMPASS BANCSHARES INC,2849,2006,10838,D. Paul Jones Jr.,5,Retired
699,CH ENERGY GROUP INC,2856,2002,5777,Paul J. Ganci,5,Retired
700,CH ENERGY GROUP INC,2856,2012,21942,Steven V. Lant,7,Other
703,CLECO CORP,2859,2004,2854,David M. Eppler,5,Retired
704,CLECO CORP,2859,2011,28884,Michael H. Madison,5,Retired
705,CLECO CORP,2859,2015,45087,Bruce A. Williamson,7,Other
710,CENTRAL VERMONT PUB SERV,2870,2010,5782,Robert H. Young,5,Retired
711,CENTRAL VERMONT PUB SERV,2870,2011,45898,Lawrence J. Reilly,7,Other
712,CENTURYLINK INC,2884,2017,2865,Glen F. Post III,5,Retired
713,CERADYNE INC,2888,2011,29202,Joel P. Moskowitz,7,Other
715,CHAMPION ENTERPRISES INC,2916,2004,26975,Albert A. Koch CPA,7,Other
721,CHARMING SHOPPES INC,2938,2008,38013,Alan Rosskamm,7,Other
723,CHARMING SHOPPES INC,2938,2011,44079,Anthony M. Romano,7,Other
725,MAGELLAN HEALTH INC,2940,2001,11843,Henry T. Harbin,5,Retired
727,MAGELLAN HEALTH INC,2940,2007,26304,Steven J. Shulman,5,Retired
728,MAGELLAN HEALTH INC,2940,2012,29274,Ren M. Lerer,5,Retired
729,MAGELLAN HEALTH INC,2940,2017,48695,Barry Morgan Smith,5,Retired
731,CANTEL MEDICAL CORP,2942,2016,38507,Andrew A. Krakauer,5,Retired
734,CHATTEM INC,2950,2008,32114,Zan Guerry,5,Retired
735,CHECKPOINT SYSTEMS INC,2953,2000,15211,Kevin P. Dowd,5,Retired
736,CHECKPOINT SYSTEMS INC,2953,2002,15215,Michael E. Smith,5,Retired
737,CHECKPOINT SYSTEMS INC,2953,2007,25786,George W. Off,5,Retired
739,CHECKPOINT SYSTEMS INC,2953,2015,47510,George Babich Jr.,7,Other
740,CHEMED CORP,2960,2000,5796,Edward L. Hutton,5,Retired
744,JPMORGAN CHASE & CO,2968,2005,514,William B. Harrison Jr.,5,Retired
750,CHEVRON CORP,2991,2009,14336,David J. O'Reilly,5,Retired
753,BRINKER INTL INC,3007,2004,2876,Ronald A. McDougall,5,Retired
754,BRINKER INTL INC,3007,2013,2878,Douglas H. Brooks,5,Retired
757,CHIRON CORP,3011,2002,16273,Sean P. Lance,5,Retired
758,CHIRON CORP,3011,2004,27281,Howard H. Pien,7,Other
759,CHRIS-CRAFT INDS,3015,2000,2885,Herbert J. Siegel,7,Other
761,CHUBB CORP,3024,2002,526,Dean R. O'Hare,5,Retired
762,CHUBB CORP,3024,2014,25231,John Daniel Finnegan,7,Other
764,CHURCH & DWIGHT INC,3026,2003,9483,Robert A. Davies III,5,Retired
765,CHURCH & DWIGHT INC,3026,2015,29061,James R. Craigie,5,Retired
