dismissal_dataset_id,coname,gvkey,fyear,co_per_rol,exec_fullname,departure_code,CEO_left_due_to
215,SCHOOL SPECIALTY INC,1634,2007,20390,Michael J. LaVelle,3,Poor Job Performance
216,ANALYSTS INTERNATIONAL CORP,1634,2009,34327,Elmer N. Baldwin,3,Poor Job Performance
220,ANDREW CORP,1651,2001,20681,Guy M Campbell,3,Poor Job Performance
235,K2 INC,1677,2002,10266,Richard M. Rodstein,3,Poor Job Performance
238,APACHE CORP,1678,2014,2691,G. Steven Farris,3,Poor Job Performance
246,APPLE INC,1690,2011,13898,Steven P. Jobs,2,Illness
250,APPLIED MATERIALS INC,1704,2013,26646,Michael R. Splinter,3,Poor Job Performance
254,ACTUANT CORP -CL A,1706,2015,24868,Mark E. Goldstein,3,Poor Job Performance
280,ASHLAND GLOBAL HOLDINGS INC,1794,2002,212,Paul W. Chellgren,3,Poor Job Performance
282,ASHLAND GLOBAL HOLDINGS INC,1794,2018,51698,William A. Wulfsohn,3,Poor Job Performance
302,AUTODESK INC,1878,2016,25457,Carl Bass,4,Legal Violation
306,AUTOMATIC DATA PROCESSING,1891,2011,231,Gary C. Butler,4,Legal Violation
314,AVNET INC,1919,2016,26411,Richard P. Hamada,3,Poor Job Performance
315,AVNET INC,1919,2018,55553,William Joseph Amelio,3,Poor Job Performance
318,AVON PRODUCTS,1920,2011,14197,Andrea Jung,3,Poor Job Performance
319,AVON PRODUCTS,1920,2018,46963,Sherilyn S. D. McCoy,3,Poor Job Performance
321,AZZ INC,1926,2013,38049,David H. Dingus,1,Death
323,BMC INDUSTRIES INC,1943,2001,5681,Paul B. Burke,3,Poor Job Performance
346,CONSTELLATION ENERGY GRP INC,1995,2001,258,Christian H. Poindexter,3,Poor Job Performance
364,BANK OF NEW YORK MELLON CORP,2019,2011,34028,Robert P. Kelly,3,Poor Job Performance
365,BANK OF NEW YORK MELLON CORP,2019,2017,14209,Gerald Lee Hassell,3,Poor Job Performance
390,BARRICK GOLD CORP,2055,2002,12354,Randall Oliphant,3,Poor Job Performance
391,BARRICK GOLD CORP,2055,2007,301,Gregory C. Wilkins,2,Illness
393,BARRICK GOLD CORP,2055,2011,38821,Aaron William Regent F.C.A. FCPA B.A. C.A,3,Poor Job Performance
394,BARRICK GOLD CORP,2055,2014,24625,Jamie Calvin Sokalsky C.A. C.P.A. CA Honours B,3,Poor Job Performance
401,BAUSCH & LOMB HLDGS -REDH,2085,2001,9447,William M. Carpenter,3,Poor Job Performance
404,BAXTER INTERNATIONAL INC,2086,2003,4696,Harry M. Jansen Kraemer Jr.,3,Poor Job Performance
422,BELL INDUSTRIES INC,2138,2004,5710,Tracy A. Edwards,3,Poor Job Performance
441,BEST BUY CO INC,2184,2011,29475,Brian J. Dunn,4,Legal Violation
455,SAVIENT PHARMACEUTICALS INC,2222,2010,33029,Paul R. Hamelin R.Ph.,3,Poor Job Performance
461,BIOGEN INC-OLD,2226,2002,12813,James C. Mullen,3,Poor Job Performance
471,BLOCK H & R INC,2269,2007,17173,Mark A. Ernst,3,Poor Job Performance
479,BLOUNT INTL INC,2271,2000,13412,John M. Panettiere,3,Poor Job Performance
480,BLOUNT INTL INC,2271,2002,13415,Harold E. Layman,3,Poor Job Performance
482,BLOUNT INTL INC,2271,2015,42489,Joshua L. Collins,3,Poor Job Performance
485,BOB EVANS FARMS,2282,2004,2768,Stewart K. Owens,3,Poor Job Performance
487,BOB EVANS FARMS,2282,2014,33594,Steven A. Davis,3,Poor Job Performance
491,BOEING CO,2285,2003,381,Philip M. Condit,3,Poor Job Performance
492,BOEING CO,2285,2004,14087,Harry C. Stonecipher,4,Legal Violation
495,BOEING CO,2285,2018,45065,Dennis A. Muilenburg,3,Poor Job Performance
509,RESOLUTE FOREST PRODUCTS INC,2337,2010,33448,David J. Paterson,3,Poor Job Performance
516,BRADY CORP,2352,2013,16580,Frank M. Jaehnert,3,Poor Job Performance
526,BRISTOL-MYERS SQUIBB CO,2403,2006,21065,Peter R. Dolan,4,Legal Violation
567,UNISYS CORP,2504,2008,18641,Joseph W. McGrath,3,Poor Job Performance
568,UNISYS CORP,2504,2014,37582,J. Edward Coleman,3,Poor Job Performance
575,LIVERAMP HOLDINGS INC,2536,2010,35500,John A. Meyer,3,Poor Job Performance
582,CDI CORP,2538,2001,21622,Allen M. Levantin,3,Poor Job Performance
584,CDI CORP,2538,2013,45079,H. Paulett Eberhart,3,Poor Job Performance
586,CDI CORP,2538,2016,50466,Scott Freidheim,3,Poor Job Performance
593,CPI CORP,2555,2003,24404,J. David Pierson,3,Poor Job Performance
595,CPI CORP,2555,2006,31291,Paul Rasmussen,3,Poor Job Performance
596,CPI CORP,2555,2011,31292,Renato Cataldo Jr.,3,Poor Job Performance
606,CSX CORP,2574,2016,23632,Michael Jon Ward,3,Poor Job Performance
607,CSX CORP,2574,2017,59865,"E. Hunter Harrison, LL.D.",1,Death
615,CABOT CORP,2593,2015,36682,Patrick M. Prevost,2,Illness
620,CACI INTL INC -CL A,2596,2013,44709,Daniel D. Allen,3,Poor Job Performance
624,CALAMP CORP,2615,2007,47791,Fred M. Sturm,3,Poor Job Performance
626,CALAMP CORP,2615,2017,47790,Michael J. Burdiek,3,Poor Job Performance
632,ADAPTIVE BROADBAND CORP.,2625,2000,15811,Frederick D. Lawrence,3,Poor Job Performance
637,CAMPBELL SOUP CO,2663,2000,11564,Dale F. Morrison,3,Poor Job Performance
638,CAMPBELL SOUP CO,2663,2011,22930,Douglas R. Conant,3,Poor Job Performance
639,CAMPBELL SOUP CO,2663,2018,35888,Denise Mullen Morrison,3,Poor Job Performance
641,CONSTELLATION BRANDS -CL A,2710,2006,13119,Richard Sands,3,Poor Job Performance
647,CARDINAL HEALTH INC,2751,2018,35861,George S. Barrett,3,Poor Job Performance
654,PROGRESS ENERGY INC,2783,2007,16565,Robert B. McGehee,1,Death
655,PROGRESS ENERGY INC,2783,2011,21449,William Dean Johnson,3,Poor Job Performance
659,CARPENTER TECHNOLOGY CORP,2787,2010,35315,Anne L. Stevens,3,Poor Job Performance
675,CASTLE (A M) & CO,2811,2012,32789,Michael H. Goldberg,3,Poor Job Performance
676,CASTLE (A M) & CO,2811,2014,46645,Scott J. Dolan,3,Poor Job Performance
689,CAVCO INDUSTRIES INC,2820,2018,53153,Joseph H. Stegmayer,4,Legal Violation
706,CLECO CORP,2859,2016,38862,Darren J. Olagues,4,Legal Violation
714,CHAMPION ENTERPRISES INC,2916,2002,5786,Walter R. Young,3,Poor Job Performance
716,CHAMPION ENTERPRISES INC,2916,2008,28608,William C. Griffiths,3,Poor Job Performance
720,CHARMING SHOPPES INC,2938,2007,9960,Dorrit M. Bern,3,Poor Job Performance
722,CHARMING SHOPPES INC,2938,2010,42495,James P. Fogarty,3,Poor Job Performance
726,MAGELLAN HEALTH INC,2940,2002,22889,Daniel S. Messina,3,Poor Job Performance
730,CANTEL MEDICAL CORP,2942,2008,38512,R. Scott Jones,3,Poor Job Performance
732,CANTEL MEDICAL CORP,2942,2019,48111,Jorgen B. Hansen,3,Poor Job Performance
738,CHECKPOINT SYSTEMS INC,2953,2012,34491,Robert P. Van Der Merwe,3,Poor Job Performance
747,CHESAPEAKE CORP,2982,2005,14153,Thomas H. Johnson,3,Poor Job Performance
748,CHESAPEAKE CORP,2982,2007,9481,Andrew J. Kohut,3,Poor Job Performance
751,CHEVRON CORP,2991,2017,23862,John S. Watson,3,Poor Job Performance
771,CINCINNATI BELL INC,3036,2002,14479,Richard G. Ellenberger,3,Poor Job Performance
782,CIRCUIT CITY STORES INC,3054,2007,29490,Philip J. Schoonover,3,Poor Job Performance
792,CLAIRES STORES INC,3087,2002,2916,Rowland Schaefer,2,Illness
795,CLAIRES STORES INC,3087,2011,38872,Eugene S. Kahn,3,Poor Job Performance
797,CLAIRES STORES INC,3087,2013,47511,James D. Fielding,3,Poor Job Performance
798,CLAIRES STORES INC,3087,2015,46426,Beatrice Lafon,3,Poor Job Performance
799,CLAIRES STORES INC,3087,2017,55179,Ronald Marshall,3,Poor Job Performance
815,CLEVELAND-CLIFFS INC,3107,2013,31629,Joseph A. Carrabba,3,Poor Job Performance
816,CLEVELAND-CLIFFS INC,3107,2014,49278,Gary Bernard Halverson,3,Poor Job Performance
819,CLOROX CO/DE,3121,2006,13531,Gerald E. Johnston,3,Poor Job Performance
833,COCA-COLA CO,3144,2016,32193,Muhtar Kent,3,Poor Job Performance
857,COMDISCO HOLDING CO INC,3230,2000,5281,Nicholas K. Pontikes,3,Poor Job Performance
858,COMDISCO HOLDING CO INC,3230,2002,24641,Norman P. Blake Jr.,3,Poor Job Performance
868,CITIGROUP INC,3243,2007,24992,Charles Prince III,3,Poor Job Performance
869,CITIGROUP INC,3243,2012,34038,Vikram Shankar Pandit,3,Poor Job Performance
872,COMMERCIAL METALS,3246,2011,24717,Murray R. McClean,3,Poor Job Performance
878,COMMONWLTH TELE ENTER,3265,2005,26260,Michael J. Mahoney,3,Poor Job Performance
892,CA INC,3310,2003,608,Sanjay Kumar,4,Legal Violation
901,DXC TECHNOLOGY COMPANY,3336,2017,46162,John Michael Lawrie,3,Poor Job Performance
902,COMPUTER TASK GROUP INC,3342,2000,14381,Gale S. Fitzgerald,3,Poor Job Performance
904,COMPUTER TASK GROUP INC,3342,2014,14383,James R. Boldt,1,Death
905,COMPUTER TASK GROUP INC,3342,2016,52443,Clifford B. Bleustein M.D. MBA,3,Poor Job Performance
912,CONAGRA BRANDS INC,3362,2014,31430,Gary M. Rodkin,3,Poor Job Performance
929,BIGLARI HOLDINGS INC,3424,2003,13505,Alan B. Gilman,3,Poor Job Performance
930,BIGLARI HOLDINGS INC,3424,2007,26550,Peter M. Dunn,3,Poor Job Performance
931,BIGLARI HOLDINGS INC,3424,2008,13505,Alan B. Gilman,3,Poor Job Performance
935,CMS ENERGY CORP,3439,2001,2962,William T. McCormick Jr.,4,Legal Violation
954,COOPER TIRE & RUBBER CO,3502,2016,34520,Roy V. Armes,3,Poor Job Performance
977,CRACKER BARREL OLD CTRY STOR,3570,2011,11593,Michael A. Woodhouse,3,Poor Job Performance
994,CUBIC CORP,3639,2012,26044,Walter J. Zable,1,Death
1008,DST SYSTEMS INC,3707,2012,17178,Thomas A. McDonnell,3,Poor Job Performance
1015,DANA INC,3734,2003,712,Joseph M. Magliochetti,1,Death
1016,DANA INC,3734,2007,28652,Michael J. Burns,3,Poor Job Performance
1017,DANA INC,3734,2008,37841,Gary L. Convis,4,Legal Violation
1029,DATASCOPE CORP,3786,2008,3000,Lawrence Saper,4,Legal Violation
1033,TARGET CORP,3813,2007,719,Robert J. Ulrich,3,Poor Job Performance
1034,TARGET CORP,3813,2013,4746,Gregg W. Steinhafel,3,Poor Job Performance
1038,DPL INC,3814,2003,8870,Stephen F. Koziar Jr.,4,Legal Violation
1047,DELTA AIR LINES INC,3851,2003,15586,Leo F. Mullin,3,Poor Job Performance
1061,ADTALEM GLOBAL EDUCATION INC,3905,2016,26490,Daniel M. Hamburger,4,Legal Violation
1075,DIEBOLD NIXDORF INC,3946,2005,18458,Walden W. O'Dell,4,Legal Violation
1076,DIEBOLD NIXDORF INC,3946,2012,30390,Thomas W. Swidarski,3,Poor Job Performance
1077,DIEBOLD NIXDORF INC,3946,2017,48362,Andreas Walter Mattes,3,Poor Job Performance
1080,VERITAS DGC INC,3949,2000,20323,Richard C. White,3,Poor Job Performance
1081,VERITAS DGC INC,3949,2004,19252,David B. Robson,2,Illness
1091,DISNEY (WALT) CO,3980,2005,758,Michael D. Eisner,3,Poor Job Performance
1094,DOLLAR GENERAL CORP,4016,2002,3046,Cal Turner Jr.,3,Poor Job Performance
1103,DONALDSON CO INC,4036,2015,15615,William M. Cook,3,Poor Job Performance
1107,DONNELLEY (R R) & SONS CO,4040,2003,13789,William L. Davis,3,Poor Job Performance
1118,DOWDUPONT INC,4060,2002,8893,Michael D. Parker,3,Poor Job Performance
1122,DOW JONES & CO INC,4062,2005,787,Peter R. Kann,3,Poor Job Performance
1127,DOWNEY FINANCIAL CORP,4065,2003,16393,Daniel D. Rosenthal,3,Poor Job Performance
1128,DOWNEY FINANCIAL CORP,4065,2004,28498,Marangal I. Domingo,3,Poor Job Performance
1129,DOWNEY FINANCIAL CORP,4065,2007,16393,Daniel D. Rosenthal,3,Poor Job Performance
1135,ASCENA RETAIL GROUP INC,4072,2015,43052,Michael W. Rayden,3,Poor Job Performance
1136,ASCENA RETAIL GROUP INC,4072,2018,8903,David R. Jaffe,3,Poor Job Performance
1144,DU PONT (E I) DE NEMOURS,4087,2015,32552,Ellen J. Kullman,3,Poor Job Performance
1148,DUKE ENERGY CORP,4093,2003,805,Richard B. Priory,3,Poor Job Performance
1158,DUN & BRADSTREET CORP,4094,2018,48708,Robert P. Carrigan,3,Poor Job Performance
1209,EL PASO ELECTRIC CO,4241,2007,34613,"Ershel C. Redd, Jr.",3,Poor Job Performance
1211,EL PASO ELECTRIC CO,4241,2011,37387,David Wayne Stevens,3,Poor Job Performance
1214,EL PASO CORP,4242,2002,3092,William A. Wise,3,Poor Job Performance
1219,ELKCORP,4251,2006,23019,Thomas D. Karol,3,Poor Job Performance
1220,ELECTRO SCIENTIFIC INDS INC,4274,2001,15419,Donald R. VanLuvanee,2,Illness
1223,ELECTRO SCIENTIFIC INDS INC,4274,2013,28084,Nicholas Konidaris,3,Poor Job Performance
1224,ELECTRO SCIENTIFIC INDS INC,4274,2015,49540,Edward C. Grady,3,Poor Job Performance
1227,EMS TECHNOLOGIES INC,4279,2009,36206,Paul B. Domorski,3,Poor Job Performance
1237,WEATHERFORD INTL PLC,4367,2016,15226,Bernard J. Duroc-Danner Ph.D.,3,Poor Job Performance
1257,EQUIFAX INC,4423,2017,30608,Richard F. Smith,3,Poor Job Performance
1276,EXAR CORP,4476,2015,46165,Louis DiNardo BA,3,Poor Job Performance
1277,EXPEDITORS INTL WASH INC,4494,2013,9975,Peter J. Rose,3,Poor Job Performance
1301,FEDERAL-MOGUL HOLDINGS CORP,4600,2000,12456,Richard A. Snell,3,Poor Job Performance
1305,FEDERAL-MOGUL HOLDINGS CORP,4600,2014,49285,Kevin P. Freeland,3,Poor Job Performance
1309,FANNIE MAE,4601,2004,892,Franklin D. Raines,3,Poor Job Performance
1310,FANNIE MAE,4601,2008,21930,Daniel H. Mudd,4,Legal Violation
1314,FEDERAL REALTY INVESTMENT TR,4605,2003,10862,Steven Jay Guttman,3,Poor Job Performance
1316,FEDERAL SIGNAL CORP,4608,2003,3124,Joseph J. Ross,4,Legal Violation
1317,FEDERAL SIGNAL CORP,4608,2007,27033,Robert D. Welding,3,Poor Job Performance
1319,FEDERAL SIGNAL CORP,4608,2010,38386,William H. Osborne,3,Poor Job Performance
1327,FERRO CORP,4622,2005,3131,Hector R. Ortino,1,Death
1328,FERRO CORP,4622,2012,31719,James F. Kirsch,3,Poor Job Performance
1341,REGIONS FINANCIAL CORP,4674,2009,32370,C. Dowd Ritter,3,Poor Job Performance
1356,M & T BANK CORP,4699,2004,10867,Robert G. Wilmers,1,Death
1372,FIRST HORIZON NATIONAL CORP,4737,2006,3167,J. Kenneth Glass,3,Poor Job Performance
1373,FIRST HORIZON NATIONAL CORP,4737,2008,28562,Gerald L. Baker,3,Poor Job Performance
1376,WACHOVIA CORP,4739,2007,16118,G. Kennedy Thompson,3,Poor Job Performance
1389,FLEMING COMPANIES INC,4769,2001,16640,Mark S. Hansen,3,Poor Job Performance
1410,FORD MOTOR CO,4839,2001,12282,Jacques A. Nasser,3,Poor Job Performance
1414,FORD MOTOR CO,4839,2016,30827,Mark Fields,3,Poor Job Performance
1417,FOREST LABORATORIES -CL A,4843,2013,3190,Howard Solomon,3,Poor Job Performance
1419,FOREST OIL CORP -OLD,4844,2012,23943,H. Craig Clark,3,Poor Job Performance
1430,FRANKLIN RESOURCES INC,4885,2003,3195,Charles B. Johnson,4,Legal Violation
1440,FULLER (H. B.) CO,4926,2010,30246,Michele Volpi,3,Poor Job Performance
1444,G&K SERVICES INC -CL A,4936,2004,5993,Thomas Moberly,2,Illness
1448,GATX CORP,4941,2004,5325,Ronald H. Zech,3,Poor Job Performance
1456,TEGNA INC,4988,2011,25073,Craig A. Dubow,2,Illness
1460,GAP INC,4990,2002,968,Millard S. Drexler,3,Poor Job Performance
1461,GAP INC,4990,2006,25249,Paul S. Pressler,3,Poor Job Performance
1469,AEROJET ROCKETDYNE HOLDINGS,5018,2015,43325,Scott J. Seymour,3,Poor Job Performance
1482,GENERAL ELECTRIC CO,5047,2017,21042,Jeffrey R. Immelt,3,Poor Job Performance
1483,GENERAL ELECTRIC CO,5047,2018,58716,John L. Flannery,3,Poor Job Performance
1492,GENERAL MOTORS CO,5073,2009,997,G. Richard Wagoner Jr.,3,Poor Job Performance
1497,ELECTRONIC DATA SYSTEMS CORP,5074,2002,19291,Richard H. Brown,3,Poor Job Performance
1504,SPX CORP,5087,2004,17354,John B. Blystone,3,Poor Job Performance
1521,GERBER SCIENTIFIC INC,5142,2001,13221,Michael J. Cheshire,3,Poor Job Performance
1532,GILLETTE CO,5169,2000,4788,Michael C. Hawley,3,Poor Job Performance
1568,GREAT ATLANTIC & PAC TEA CO,5301,2008,27915,Eric A. Claus,3,Poor Job Performance
1570,GREAT ATLANTIC & PAC TEA CO,5301,2010,44392,Samuel Martin,3,Poor Job Performance
1573,GREAT LAKES CHEMICAL CORP,5306,2003,16586,Mark P. Bulriss,3,Poor Job Performance
1581,GREIF INC -CL A,5338,2015,36073,David B. Fischer,3,Poor Job Performance
1585,MONEYGRAM INTERNATIONAL INC,5342,2008,19114,Philip W. Milne,3,Poor Job Performance
1586,MONEYGRAM INTERNATIONAL INC,5342,2009,28963,Anthony P. Ryan,3,Poor Job Performance
1619,HARSCO CORP,5496,2011,12444,Salvatore D. Fazzolari CPA CPA CISA,3,Poor Job Performance
1626,HARTMARX CORP,5505,2001,1112,Elbert O. Hand,3,Poor Job Performance
1632,HAWAIIAN ELECTRIC INDS,5526,2005,3269,Robert F. Clarke,3,Poor Job Performance
1634,HAWKINS INC,5530,2010,44088,John R. Hawkins,1,Death
1646,KRAFT HEINZ CO,5568,2018,48399,Bernardo Vieira Hees,3,Poor Job Performance
1647,HELEN OF TROY LTD,5572,2013,38097,Gerald J. Rubin,3,Poor Job Performance
1655,HERCULES INC,5589,2000,1136,Vincent J. Corbo,3,Poor Job Performance
1660,HERSHEY CO,5597,2007,23541,Richard H. Lenny,3,Poor Job Performance
1665,HP INC,5606,2004,17914,Carleton S. Fiorina,3,Poor Job Performance
1667,HP INC,5606,2010,30132,Mark Vincent Hurd,4,Legal Violation
1668,HP INC,5606,2011,45165,Leo Apotheker,3,Poor Job Performance
1672,HIBERNIA CORP -CL A,5619,2000,6056,Stephen A. Hansel,3,Poor Job Performance
1675,HILL-ROM HOLDINGS INC,5639,2005,20963,Frederick W. Rockwood,3,Poor Job Performance
1685,PINNACLE ENTERTAINMENT INC,5671,2001,20147,Paul R. Alanis,4,Legal Violation
1686,PINNACLE ENTERTAINMENT INC,5671,2009,26027,Daniel R. Lee CFA,4,Legal Violation
1690,HOME DEPOT INC,5680,2006,21712,Robert L. Nardelli,3,Poor Job Performance
1701,HOOPER HOLMES INC,5697,2007,33188,James Calver,3,Poor Job Performance
1702,HOOPER HOLMES INC,5697,2010,37529,Roy H. Bubbs,3,Poor Job Performance
1703,HOOPER HOLMES INC,5697,2012,43705,Ransom J. Parker,3,Poor Job Performance
1710,STARWOOD HOTELS&RESORTS WRLD,5723,2006,29568,Steven J. Heyer,3,Poor Job Performance
1711,STARWOOD HOTELS&RESORTS WRLD,5723,2015,34104,Frits D. Van Paasschen,3,Poor Job Performance
1717,HSBC FINANCE CORP,5735,2010,38973,Niall Scott Kilgour Brooker,3,Poor Job Performance
1721,CENTERPOINT ENERGY INC,5742,2002,1176,R. Steve Letbetter,3,Poor Job Performance
1725,URSTADT BIDDLE PROPERTIES,5763,2013,36479,Charles J. Urstadt,3,Poor Job Performance
1741,HUTCHINSON TECHNOLOGY INC,5791,2012,15481,Wayne M. Fortun,3,Poor Job Performance
1765,ILLINOIS TOOL WORKS,5878,2012,14161,David B. Speer,2,Illness
1787,INNOVEX INC,5973,2008,28249,Terry M. Dauenhauer,3,Poor Job Performance
1791,AEGION CORP,5978,2014,37325,J. Joseph Burgess,3,Poor Job Performance
1799,INTEGRATED DEVICE TECH INC,6003,2013,38174,Theodore L. Tewksbury III,3,Poor Job Performance
1804,INTEL CORP,6008,2017,47026,Brian M. Krzanich,4,Legal Violation
1805,INTEL CORP,6008,2019,54622,Robert H. Swan,3,Poor Job Performance
1810,FURNITURE BRANDS INTL INC,6025,2006,16006,William G. Holliman,3,Poor Job Performance
1837,NAVISTAR INTERNATIONAL CORP,6081,2012,11849,Daniel C. Ustian,4,Legal Violation
1857,INTL RECTIFIER CORP,6109,2008,6126,Alexander Lidow Ph.D.,4,Legal Violation
1864,IT GROUP INC,6121,2000,3343,Anthony J. DeLuca,3,Poor Job Performance
1869,ENRON CORP,6127,2000,1245,Kenneth Lee Lay,4,Legal Violation
1871,INTERPUBLIC GROUP OF COS,6136,2002,9591,John J. Dooner Jr.,3,Poor Job Performance
1875,INTERSTATE BAKERIES CORP,6140,2003,26238,James R. Elsesser,3,Poor Job Performance
1882,INVACARE CORP,6158,2010,6155,A. Malachi Mixon III,2,Illness
1883,INVACARE CORP,6158,2014,6157,Gerald B. Blouch,3,Poor Job Performance
1896,IPALCO ENTERPRISES INC,6178,2018,51573,Craig L. Jackson,3,Poor Job Performance
1904,JACOBS ENGINEERING GROUP INC,6216,2015,23291,Craig L. Martin,2,Illness
1915,SMURFIT-STONE CONTAINER CORP,6242,2002,25271,Ray M. Curran,3,Poor Job Performance
1918,JOHNSON & JOHNSON,6266,2011,18522,William C. Weldon,3,Poor Job Performance
1923,JOHNSON CONTROLS INTL PLC,6268,2017,38449,Alex A. Molinaroli,4,Legal Violation
1942,SEARS HOLDINGS CORP,6307,2001,21503,Charles C. Conaway,4,Legal Violation
1947,SEARS HOLDINGS CORP,6307,2007,30369,Aylwin B. Lewis,3,Poor Job Performance
1948,SEARS HOLDINGS CORP,6307,2010,30371,William Bruce Johnson,3,Poor Job Performance
1950,SEARS HOLDINGS CORP,6307,2017,47031,Edward Scott Lampert,3,Poor Job Performance
1958,GREAT PLAINS ENERGY INC,6334,2000,3361,A. Drue Jennings,3,Poor Job Performance
1967,EVERGY INC,6338,2002,12942,David C. Wittig,4,Legal Violation
1972,CKE RESTAURANTS INC,6346,2011,19887,Andrew F. Puzder,4,Legal Violation
1983,KEANE INC,6362,2005,12566,Brian T. Keane,4,Legal Violation
1989,KELLOGG CO,6375,2017,28564,John A. Bryant,3,Poor Job Performance
1995,KELLY SERVICES INC -CL A,6379,2016,14688,Carl Thurman Camden,3,Poor Job Performance
2000,KENNAMETAL INC,6386,2016,51576,Donald A. Nolan,3,Poor Job Performance
2008,KIMBERLY-CLARK CORP,6435,2018,4834,Thomas J. Falk,3,Poor Job Performance
2025,LSB INDUSTRIES INC,6528,2015,6218,Barry H. Golsen,3,Poor Job Performance
2032,LA-Z-BOY INC,6543,2002,13101,Gerald L. Kiser,3,Poor Job Performance
2037,LAIDLAW INTERNATIONAL INC,6557,2000,9618,James R. Bullock,3,Poor Job Performance
2038,LAIDLAW INTERNATIONAL INC,6557,2006,28272,Kevin E. Benson,3,Poor Job Performance
2041,LAM RESEARCH CORP,6565,2018,31744,Martin B. Anstice,4,Legal Violation
2046,SNYDERS-LANCE INC,6574,2004,3399,Paul A. Stroup III,3,Poor Job Performance
2048,SNYDERS-LANCE INC,6574,2016,45201,"Carl E. Lee, Jr.",3,Poor Job Performance
2063,LEGG MASON INC,6653,2007,6227,Raymond Adams Mason,3,Poor Job Performance
2064,LEGG MASON INC,6653,2012,27944,Mark Raymond Fetting,3,Poor Job Performance
2078,LILLY (ELI) & CO,6730,2016,23418,John C. Lechleiter,2,Illness
2133,LOWE'S COMPANIES INC,6829,2017,27559,Robert Alan Niblock,3,Poor Job Performance
2139,LUBYS INC,6831,2001,15838,Barry J. C. Parker,3,Poor Job Performance
2145,LYDALL INC,6845,2002,14967,Christopher R. Skomorowski,3,Poor Job Performance
2158,MTS SYSTEMS CORP,6900,2011,28266,Laura B. Hamilton,4,Legal Violation
2180,MARSH & MCLENNAN COS,7065,2004,12188,Jeffrey W. Greenberg,4,Legal Violation
2181,MARSH & MCLENNAN COS,7065,2007,28814,Michael Griffin Cherkasky,3,Poor Job Performance
2185,MARSHALL & ILSLEY CORP,7067,2006,3477,Dennis J. Kuester,3,Poor Job Performance
2197,MATERIAL SCIENCES CORP,7107,2002,6265,Gerald G. Nadig,3,Poor Job Performance
2198,MATERIAL SCIENCES CORP,7107,2003,27899,Michael J. Callahan,3,Poor Job Performance
2204,MATTEL INC,7116,2014,27482,Bryan G. Stockton,3,Poor Job Performance
2206,MATTEL INC,7116,2017,59947,Mary Margaret Hastings Georgiadis,3,Poor Job Performance
2211,MAY DEPARTMENT STORES CO,7127,2004,12752,Eugene S. Kahn,3,Poor Job Performance
2213,MAYTAG CORP,7139,2000,12409,Lloyd D. Ward,3,Poor Job Performance
2230,MCDONALD'S CORP,7154,2002,1446,Jack M. Greenberg,3,Poor Job Performance
2231,MCDONALD'S CORP,7154,2003,1445,James R. Cantalupo,1,Death
2232,MCDONALD'S CORP,7154,2004,25368,Charles H. Bell,2,Illness
2234,MCDONALD'S CORP,7154,2014,43736,Donald Thompson,3,Poor Job Performance
2235,MCDONALD'S CORP,7154,2017,50557,Stephen J. Easterbrook,4,Legal Violation
2244,MCKESSON CORP,7171,2018,13072,John H. Hammergren,3,Poor Job Performance
2255,MEDTRONIC PLC,7228,2006,1472,Arthur D. Collins Jr.,3,Poor Job Performance
